Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,Sample_type,SRA Study,HOST,create_date,version,Isolate,Strain,Investigation_type,Isolation_source
SRR6317725,WGS,252,3690736056,PRJNA419548,SAMN08057788,"Microbe\, viral or environmental",1986986545,UNIVERSITY OF NEUCHATEL,2002,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX3417591,Switzerland,Europe,Switzerland,Illumina HiSeq 2000,CH4_4b1,PAIRED,RANDOM,GENOMIC,Rhynchosporium secalis,ILLUMINA,2018-12-02T00:00:00Z,CH4_4b1,Whole organism,SRP125506,Rye,2017-11-22T19:49:00Z,1,,CH4_4b1,,
SRR6317726,WGS,252,2944006884,PRJNA419548,SAMN08057787,"Microbe\, viral or environmental",1592445944,UNIVERSITY OF NEUCHATEL,2002,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX3417590,Switzerland,Europe,Switzerland,Illumina HiSeq 2000,CH2_3b1,PAIRED,RANDOM,GENOMIC,Rhynchosporium secalis,ILLUMINA,2018-12-02T00:00:00Z,CH2_3b1,Whole organism,SRP125506,Rye,2017-11-22T19:53:00Z,1,,CH2_3b1,,
SRR6317727,WGS,252,2992706388,PRJNA419548,SAMN08057782,"Microbe\, viral or environmental",1645318716,UNIVERSITY OF NEUCHATEL,missing,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX3417589,Switzerland,Europe,Switzerland,Illumina HiSeq 2000,ITA4_1,PAIRED,RANDOM,GENOMIC,Rhynchobrunnera orthospora,ILLUMINA,2018-12-02T00:00:00Z,ITA4_1,Whole organism,SRP125506,Dactylis glomerata,2017-11-22T19:49:00Z,1,,ITA4_1,,
SRR6317728,WGS,252,3440305260,PRJNA419548,SAMN08057780,"Microbe\, viral or environmental",1893480401,UNIVERSITY OF NEUCHATEL,missing,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3417588,Switzerland,Europe,Switzerland,Illumina HiSeq 2000,ITA6_3,PAIRED,RANDOM,GENOMIC,Rhynchobrunnera orthospora,ILLUMINA,2018-12-02T00:00:00Z,ITA6_3,Whole organism,SRP125506,Dactylis glomerata,2017-11-22T19:59:00Z,1,,ITA6_3,,
SRR6317729,WGS,252,3643656408,PRJNA419548,SAMN08057779,"Microbe\, viral or environmental",1971830762,UNIVERSITY OF NEUCHATEL,missing,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3417587,Switzerland,Europe,Switzerland,Illumina HiSeq 2000,BA4_1_1,PAIRED,RANDOM,GENOMIC,Rhynchobrunnera orthospora,ILLUMINA,2018-12-02T00:00:00Z,BA4_1_1,Whole organism,SRP125506,Dactylis glomerata,2017-11-22T19:51:00Z,1,,BA4_1_1,,
SRR6317730,WGS,252,3340636740,PRJNA419548,SAMN08057799,"Microbe\, viral or environmental",1808496556,UNIVERSITY OF NEUCHATEL,2004,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3417586,Switzerland,Europe,Switzerland,Illumina HiSeq 2000,K2B4A1_1,PAIRED,RANDOM,GENOMIC,Rhynchosporium agropyri,ILLUMINA,2018-12-02T00:00:00Z,K2B4A1_1,Whole organism,SRP125506,Elymus repens,2017-11-22T19:51:00Z,1,,K2B4A1_1,,
SRR6317731,WGS,252,4054489236,PRJNA419548,SAMN08057781,"Microbe\, viral or environmental",2204556622,UNIVERSITY OF NEUCHATEL,missing,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX3417585,Switzerland,Europe,Switzerland,Illumina HiSeq 2000,BA2_1_1,PAIRED,RANDOM,GENOMIC,Rhynchobrunnera orthospora,ILLUMINA,2018-12-02T00:00:00Z,BA2_1_1,Whole organism,SRP125506,Dactylis glomerata,2017-11-22T19:53:00Z,1,,BA2_1_1,,
SRR6317732,WGS,252,3148557552,PRJNA419548,SAMN08057784,"Microbe\, viral or environmental",1677360711,UNIVERSITY OF NEUCHATEL,1999,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX3417584,Switzerland,Europe,Switzerland,Illumina HiSeq 2000,99CH1D4a,PAIRED,RANDOM,GENOMIC,Rhynchosporium secalis,ILLUMINA,2018-12-02T00:00:00Z,99CH1D4a,Whole organism,SRP125506,Rye,2017-11-22T19:52:00Z,1,,99CH1D4a,,
SRR6317733,WGS,252,3047136120,PRJNA419548,SAMN08057783,"Microbe\, viral or environmental",1617574953,UNIVERSITY OF NEUCHATEL,2003,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX3417583,France,Europe,France,Illumina HiSeq 2000,FRB35,PAIRED,RANDOM,GENOMIC,Rhynchosporium secalis,ILLUMINA,2018-12-02T00:00:00Z,FRB35,Whole organism,SRP125506,Triticale,2017-11-22T19:53:00Z,1,,FRB35,,
SRR6317734,WGS,252,3254977656,PRJNA419548,SAMN08057786,"Microbe\, viral or environmental",1749103528,UNIVERSITY OF NEUCHATEL,2002,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX3417582,Switzerland,Europe,Switzerland,Illumina HiSeq 2000,CH4_2a1,PAIRED,RANDOM,GENOMIC,Rhynchosporium secalis,ILLUMINA,2018-12-02T00:00:00Z,CH4_2a1,Whole organism,SRP125506,Rye,2017-11-22T19:55:00Z,1,,CH4_2a1,,
SRR6317735,WGS,252,2646735336,PRJNA419548,SAMN08057785,"Microbe\, viral or environmental",1453270487,UNIVERSITY OF NEUCHATEL,1999,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX3417581,Switzerland,Europe,Switzerland,Illumina HiSeq 2000,99CH1E7a,PAIRED,RANDOM,GENOMIC,Rhynchosporium secalis,ILLUMINA,2018-12-02T00:00:00Z,99CH1E7a,Whole organism,SRP125506,Rye,2017-11-22T19:55:00Z,1,,99CH1E7a,,
SRR3740527,WGS,252,5010986484,PRJNA327656,SAMN05355180,"Microbe\, viral or environmental",2475184372,ETH ZURICH,2003,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX1895545,Switzerland,Europe,Switzerland,Illumina HiSeq 2000,CH_1,PAIRED,RANDOM,GENOMIC,Rhynchosporium commune,ILLUMINA,2016-12-02T00:00:00Z,CH_1,whole organism,SRP077778,Hordeum vulgare,2016-07-02T15:01:00Z,1,CH_1,,,
SRR3740528,WGS,252,5545530396,PRJNA327656,SAMN05355181,"Microbe\, viral or environmental",2597437510,ETH ZURICH,2003,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX1895546,Switzerland,Europe,Switzerland,Illumina HiSeq 2000,CH_2,PAIRED,RANDOM,GENOMIC,Rhynchosporium commune,ILLUMINA,2016-12-02T00:00:00Z,CH_2,whole organism,SRP077778,Hordeum vulgare,2016-07-02T14:55:00Z,1,CH_2,,,
SRR3740529,WGS,252,1812322008,PRJNA327656,SAMN05355190,"Microbe\, viral or environmental",815421222,ETH ZURICH,2003,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX1895547,Switzerland,Europe,Switzerland,Illumina HiSeq 2000,CH_11,PAIRED,RANDOM,GENOMIC,Rhynchosporium commune,ILLUMINA,2016-12-02T00:00:00Z,CH_11,whole organism,SRP077778,Hordeum vulgare,2016-07-02T14:49:00Z,1,CH_11,,,
SRR3740530,WGS,252,2688860664,PRJNA327656,SAMN05355280,"Microbe\, viral or environmental",1342298145,ETH ZURICH,2008,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX1895548,Iceland,Europe,Iceland,Illumina HiSeq 2000,IS_106,PAIRED,RANDOM,GENOMIC,Rhynchosporium commune,ILLUMINA,2016-12-02T00:00:00Z,IS_106,whole organism,SRP077778,Hordeum vulgare,2016-07-02T14:50:00Z,1,IS_106,,,
SRR3740531,WGS,252,2752053444,PRJNA327656,SAMN05355281,"Microbe\, viral or environmental",1372833682,ETH ZURICH,2008,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX1895549,Iceland,Europe,Iceland,Illumina HiSeq 2000,IS_107,PAIRED,RANDOM,GENOMIC,Rhynchosporium commune,ILLUMINA,2016-12-02T00:00:00Z,IS_107,whole organism,SRP077778,Hordeum vulgare,2016-07-02T14:50:00Z,1,IS_107,,,
SRR3740532,WGS,252,2510721360,PRJNA327656,SAMN05355282,"Microbe\, viral or environmental",1270118199,ETH ZURICH,2008,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX1895550,Iceland,Europe,Iceland,Illumina HiSeq 2000,IS_108,PAIRED,RANDOM,GENOMIC,Rhynchosporium commune,ILLUMINA,2016-12-02T00:00:00Z,IS_108,whole organism,SRP077778,Hordeum vulgare,2016-07-02T14:53:00Z,1,IS_108,,,
SRR3740533,WGS,252,2934284976,PRJNA327656,SAMN05355283,"Microbe\, viral or environmental",1460641785,ETH ZURICH,2008,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX1895551,Iceland,Europe,Iceland,Illumina HiSeq 2000,IS_109,PAIRED,RANDOM,GENOMIC,Rhynchosporium commune,ILLUMINA,2016-12-02T00:00:00Z,IS_109,whole organism,SRP077778,Hordeum vulgare,2016-07-02T14:55:00Z,1,IS_109,,,
SRR3740534,WGS,252,3093079248,PRJNA327656,SAMN05355284,"Microbe\, viral or environmental",1546902066,ETH ZURICH,2008,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX1895552,Iceland,Europe,Iceland,Illumina HiSeq 2000,IS_110,PAIRED,RANDOM,GENOMIC,Rhynchosporium commune,ILLUMINA,2016-12-02T00:00:00Z,IS_110,whole organism,SRP077778,Hordeum vulgare,2016-07-02T14:53:00Z,1,IS_110,,,
SRR3740535,WGS,252,2956186296,PRJNA327656,SAMN05355285,"Microbe\, viral or environmental",1526956632,ETH ZURICH,2008,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX1895553,Iceland,Europe,Iceland,Illumina HiSeq 2000,IS_111,PAIRED,RANDOM,GENOMIC,Rhynchosporium commune,ILLUMINA,2016-12-02T00:00:00Z,IS_111,whole organism,SRP077778,Hordeum vulgare,2016-07-02T14:52:00Z,1,IS_111,,,
SRR3740536,WGS,252,2876542200,PRJNA327656,SAMN05355286,"Microbe\, viral or environmental",1438746843,ETH ZURICH,2008,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX1895554,Iceland,Europe,Iceland,Illumina HiSeq 2000,IS_112,PAIRED,RANDOM,GENOMIC,Rhynchosporium commune,ILLUMINA,2016-12-02T00:00:00Z,IS_112,whole organism,SRP077778,Hordeum vulgare,2016-07-02T14:53:00Z,1,IS_112,,,
SRR3740537,WGS,252,2759731128,PRJNA327656,SAMN05355287,"Microbe\, viral or environmental",1417576340,ETH ZURICH,1997,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX1895555,Australia,Oceania,Australia,Illumina HiSeq 2000,AU_113,PAIRED,RANDOM,GENOMIC,Rhynchosporium commune,ILLUMINA,2016-12-02T00:00:00Z,AU_113,whole organism,SRP077778,Hordeum vulgare,2016-07-02T14:52:00Z,1,AU_113,,,
SRR3740538,WGS,252,2551656996,PRJNA327656,SAMN05355288,"Microbe\, viral or environmental",1274881854,ETH ZURICH,1997,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX1895556,Australia,Oceania,Australia,Illumina HiSeq 2000,AU_114,PAIRED,RANDOM,GENOMIC,Rhynchosporium commune,ILLUMINA,2016-12-02T00:00:00Z,AU_114,whole organism,SRP077778,Hordeum vulgare,2016-07-02T14:52:00Z,1,AU_114,,,
SRR3740539,WGS,252,2918291292,PRJNA327656,SAMN05355289,"Microbe\, viral or environmental",1450059599,ETH ZURICH,1997,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX1895557,Australia,Oceania,Australia,Illumina HiSeq 2000,AU_115,PAIRED,RANDOM,GENOMIC,Rhynchosporium commune,ILLUMINA,2016-12-02T00:00:00Z,AU_115,whole organism,SRP077778,Hordeum vulgare,2016-07-02T14:53:00Z,1,AU_115,,,
SRR3740540,WGS,252,2039062536,PRJNA327656,SAMN05355191,"Microbe\, viral or environmental",902514540,ETH ZURICH,2003,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX1895558,Switzerland,Europe,Switzerland,Illumina HiSeq 2000,CH_12,PAIRED,RANDOM,GENOMIC,Rhynchosporium commune,ILLUMINA,2016-12-02T00:00:00Z,CH_12,whole organism,SRP077778,Hordeum vulgare,2016-07-02T14:51:00Z,1,CH_12,,,
SRR3740541,WGS,252,2743983900,PRJNA327656,SAMN05355290,"Microbe\, viral or environmental",1359016800,ETH ZURICH,1997,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX1895559,Australia,Oceania,Australia,Illumina HiSeq 2000,AU_116,PAIRED,RANDOM,GENOMIC,Rhynchosporium commune,ILLUMINA,2016-12-02T00:00:00Z,AU_116,whole organism,SRP077778,Hordeum vulgare,2016-07-02T14:53:00Z,1,AU_116,,,
SRR3740542,WGS,252,2702005740,PRJNA327656,SAMN05355291,"Microbe\, viral or environmental",1364843527,ETH ZURICH,1997,public,"fastq,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX1895560,Australia,Oceania,Australia,Illumina HiSeq 2000,AU_117,PAIRED,RANDOM,GENOMIC,Rhynchosporium commune,ILLUMINA,2016-12-02T00:00:00Z,AU_117,whole organism,SRP077778,Hordeum vulgare,,,AU_117,,,
SRR3740543,WGS,252,3003741468,PRJNA327656,SAMN05355292,"Microbe\, viral or environmental",1480561872,ETH ZURICH,1997,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX1895561,Australia,Oceania,Australia,Illumina HiSeq 2000,AU_119,PAIRED,RANDOM,GENOMIC,Rhynchosporium commune,ILLUMINA,2016-12-02T00:00:00Z,AU_119,whole organism,SRP077778,Hordeum vulgare,2016-07-02T14:53:00Z,1,AU_119,,,
SRR3740544,WGS,252,3036130776,PRJNA327656,SAMN05355293,"Microbe\, viral or environmental",1504689225,ETH ZURICH,1997,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX1895562,Australia,Oceania,Australia,Illumina HiSeq 2000,AU_120,PAIRED,RANDOM,GENOMIC,Rhynchosporium commune,ILLUMINA,2016-12-02T00:00:00Z,AU_120,whole organism,SRP077778,Hordeum vulgare,2016-07-02T14:59:00Z,1,AU_120,,,
SRR3740545,WGS,252,3033629928,PRJNA327656,SAMN05355294,"Microbe\, viral or environmental",1574832528,ETH ZURICH,1997,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX1895563,Australia,Oceania,Australia,Illumina HiSeq 2000,AU_121,PAIRED,RANDOM,GENOMIC,Rhynchosporium commune,ILLUMINA,2016-12-02T00:00:00Z,AU_121,whole organism,SRP077778,Hordeum vulgare,2016-07-02T14:53:00Z,1,AU_121,,,
SRR3740546,WGS,252,3391610544,PRJNA327656,SAMN05355295,"Microbe\, viral or environmental",1637930143,ETH ZURICH,1997,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX1895564,Australia,Oceania,Australia,Illumina HiSeq 2000,AU_122,PAIRED,RANDOM,GENOMIC,Rhynchosporium commune,ILLUMINA,2016-12-02T00:00:00Z,AU_122,whole organism,SRP077778,Hordeum vulgare,2016-07-02T14:54:00Z,1,AU_122,,,
SRR3740547,WGS,252,4599763812,PRJNA327656,SAMN05355296,"Microbe\, viral or environmental",2218672198,ETH ZURICH,1997,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX1895565,Australia,Oceania,Australia,Illumina HiSeq 2000,AU_123,PAIRED,RANDOM,GENOMIC,Rhynchosporium commune,ILLUMINA,2016-12-02T00:00:00Z,AU_123,whole organism,SRP077778,Hordeum vulgare,2016-07-02T15:00:00Z,1,AU_123,,,
SRR3740548,WGS,252,3589797708,PRJNA327656,SAMN05355297,"Microbe\, viral or environmental",1741172541,ETH ZURICH,1997,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX1895566,Australia,Oceania,Australia,Illumina HiSeq 2000,AU_124,PAIRED,RANDOM,GENOMIC,Rhynchosporium commune,ILLUMINA,2016-12-02T00:00:00Z,AU_124,whole organism,SRP077778,Hordeum vulgare,2016-07-02T14:55:00Z,1,AU_124,,,
SRR3740549,WGS,252,3661612416,PRJNA327656,SAMN05355298,"Microbe\, viral or environmental",1768185933,ETH ZURICH,1997,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX1895567,Australia,Oceania,Australia,Illumina HiSeq 2000,AU_125,PAIRED,RANDOM,GENOMIC,Rhynchosporium commune,ILLUMINA,2016-12-02T00:00:00Z,AU_125,whole organism,SRP077778,Hordeum vulgare,2016-07-02T14:55:00Z,1,AU_125,,,
SRR3740550,WGS,252,3724334208,PRJNA327656,SAMN05355299,"Microbe\, viral or environmental",1767013035,ETH ZURICH,1997,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX1895568,Australia,Oceania,Australia,Illumina HiSeq 2000,AU_126,PAIRED,RANDOM,GENOMIC,Rhynchosporium commune,ILLUMINA,2016-12-02T00:00:00Z,AU_126,whole organism,SRP077778,Hordeum vulgare,2016-07-02T14:55:00Z,1,AU_126,,,
SRR3740551,WGS,252,1970711568,PRJNA327656,SAMN05355192,"Microbe\, viral or environmental",826526812,ETH ZURICH,2003,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX1895569,Switzerland,Europe,Switzerland,Illumina HiSeq 2000,CH_13,PAIRED,RANDOM,GENOMIC,Rhynchosporium commune,ILLUMINA,2016-12-02T00:00:00Z,CH_13,whole organism,SRP077778,Hordeum vulgare,2016-07-02T14:52:00Z,1,CH_13,,,
SRR3740552,WGS,252,2889596556,PRJNA327656,SAMN05355193,"Microbe\, viral or environmental",1388547085,ETH ZURICH,2003,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX1895570,Switzerland,Europe,Switzerland,Illumina HiSeq 2000,CH_14,PAIRED,RANDOM,GENOMIC,Rhynchosporium commune,ILLUMINA,2016-12-02T00:00:00Z,CH_14,whole organism,SRP077778,Hordeum vulgare,2016-07-02T14:53:00Z,1,CH_14,,,
SRR3740553,WGS,252,1968077412,PRJNA327656,SAMN05355194,"Microbe\, viral or environmental",829459233,ETH ZURICH,1989,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX1895571,USA,North America,USA: California,Illumina HiSeq 2000,US_15,PAIRED,RANDOM,GENOMIC,Rhynchosporium commune,ILLUMINA,2016-12-02T00:00:00Z,US_15,whole organism,SRP077778,Hordeum vulgare,2016-07-02T14:53:00Z,1,US_15,,,
SRR3740554,WGS,252,1332851688,PRJNA327656,SAMN05355195,"Microbe\, viral or environmental",563284812,ETH ZURICH,1989,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX1895572,USA,North America,USA: California,Illumina HiSeq 2000,US_16,PAIRED,RANDOM,GENOMIC,Rhynchosporium commune,ILLUMINA,2016-12-02T00:00:00Z,US_16,whole organism,SRP077778,Hordeum vulgare,2016-07-02T14:52:00Z,1,US_16,,,
SRR3740555,WGS,252,1570824360,PRJNA327656,SAMN05355196,"Microbe\, viral or environmental",659281643,ETH ZURICH,1989,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX1895573,USA,North America,USA: California,Illumina HiSeq 2000,US_17,PAIRED,RANDOM,GENOMIC,Rhynchosporium commune,ILLUMINA,2016-12-02T00:00:00Z,US_17,whole organism,SRP077778,Hordeum vulgare,2016-07-02T14:52:00Z,1,US_17,,,
SRR3740556,WGS,252,2029548024,PRJNA327656,SAMN05355197,"Microbe\, viral or environmental",883627755,ETH ZURICH,1989,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX1895574,USA,North America,USA: California,Illumina HiSeq 2000,US_18,PAIRED,RANDOM,GENOMIC,Rhynchosporium commune,ILLUMINA,2016-12-02T00:00:00Z,US_18,whole organism,SRP077778,Hordeum vulgare,2016-07-02T14:56:00Z,1,US_18,,,
SRR3740557,WGS,252,1482497856,PRJNA327656,SAMN05355198,"Microbe\, viral or environmental",610071289,ETH ZURICH,1989,public,"fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX1895575,USA,North America,USA: California,Illumina HiSeq 2000,US_19,PAIRED,RANDOM,GENOMIC,Rhynchosporium commune,ILLUMINA,2016-12-02T00:00:00Z,US_19,whole organism,SRP077778,Hordeum vulgare,,,US_19,,,
